,Short name,Contrast,Anatomic coverage,Additional info,Full protocol?,,Review by GR?,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
300A,abdomen only,without,abdomen,,,,,,,,,,,,,,,,,,,,,,
300B,abdomen only,with,abdomen,,,,,,,,,,,,,,,,,,,,,,
301C,4 Phase liver - abdomen,without and with,abdomen,4 phase dynamic contrast,,,,,,,,,,,,,,,,,,,,,
301B,3 Phase liver - abdomen,with,abdomen,3 phase liver: post con only (no pre-con phase),,,,,,,,,,,,,,,,,,,,,
303C,Renal mass,without and with,abdomen,3 phase,,,,,,,,,,,,,,,,,,,,,
304C,Pancreas abdomen,without and with,abdomen,3 phase: pre + arterial + venous,,,,,,,,,,,,,,,,,,,,,
309C,Adrenal mass,(without and with),abdomen,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
310A,abd/pelv Routine w/o,without,abdomen + pelvis,Routine without,,,,,,,,,,,,,,,,,,,,,
310B,Abd/pelvis with,with,abdomen + pelvis,Routine with. Specify oral in comments,,,,,,,,,,,,,,,,,,,,,
312A,Stone protocol,without,,Kidney stone protocol,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
321C,Multiphase liver with pelvis,without and with,abdomen/pelvis,4 phase: Pelvis on portal venous,,,,,,,,,,,,,,,,,,,,,
323C,Renal mass with pelvis,without and with,abdomen/pelvis,3 phase,,,,,,,,,,,,,,,,,,,,,
324C,Pancreas with pelvis,without and with,abdomen/pelvis,Pelvis on portal venous,,,,,,,,,,,,,,,,,,,,,
329C,Adrenal mass with pelvis,(without and with),abdomen/pelvis,,,,,,,,,,,,,,,,,,,,,,
330B,HIPEC ABD/PEL,without and with,abdomen/pelvis,oral contrast,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
340C,Urogram 2 phase,without and with,abdomen/pelvis,split bolus; hematuria,,,,,,,,,,,,,,,,,,,,,
341C,Urogram 3 phase,without and with,abdomen/pelvis,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
350B,CT Enterography,with,abdomen/pelvis,with IV + Volumen/Breeza PO,,,,,,,,,,,,,,,,,,,,,
351C,GI bleeding,without and with,abdomen/pelvis,(no PO of any kind),,,yes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
370A,pelvis,without,,,,,,,,,,,,,,,,,,,,,,,
370B,pelvis,with,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
380D,Cystogram,without,pelvis,cystographic contrast only,,,,,,,,,,,,,,,,,,,,,
381C,Cystogram,without and with,pelvis,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
390A,CT colonography - screening,without,abdomen/pelvis,virtual colonoscopy / CTC,,,,,,,,,,,,,,,,,,,,,
390B,CT colonography - diagnostic,without,abdomen/pelvis,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
400,MSK,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
400A,extremity,without,(specify site),,,,,,,,,,,,,,,,,,,,,,
400B,extremity,with,(specify site),,,,,,,,,,,,,,,,,,,,,,
402A,extremity + 3D,without,,+ 3D recon,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
410A,joint,without,(specify site),,,,,,,,,,,,,,,,,,,,,,
410B,joint,with,(specify site),,,,,,,,,,,,,,,,,,,,,,
412A,joint + 3D,without,,+ 3D recon,,,,,,,,,,,,,,,,,,,,,
413D,joint,arthrogram,(specify site),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
420A,Conformis knee,without,,,PDF,,,,,,,,,,,,,,,,,,,,
421A,Zimmer knee,without,,,PDF,,,,,,,,,,,,,,,,,,,,
422A,Zimmer Shoulder,without,,,PDF,,,,,,,,,,,,,,,,,,,,
423A,Blueprint shoulder,without,,,,,,,,,,,,,,,,,,,,,,,
424A,Depuy Pelvis,without,,,yes,,,,,,,,,,,,,,,,,,,,
425A,BLUE PRINT SHOULDER,without,,,,,,,,,,,,,,,,,,,,,,,
426A,MAKO KNEE,WITHOUT,,,,,,,,,,,,,,,,,,,,,,,
427A,MAKO HIP,WITHOUT,,,,,,,,,,,,,,,,,,,,,,,
428A,CONFORMIS HIP,WITHOUT,,,,,,,,,,,,,,,,,,,,,,,
429A,CT SCANOGRAM,WITHOUT,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
500,Spine,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
500A,C-spine,without,,routine / trauma / DJD,PDF,,,,,,,,,,,,,,,,,,,,
500B,C-spine,with,,,,,,,,,,,,,,,,,,,,,,,
510A,T-spine,without,,,,,,,,,,,,,,,,,,,,,,,
510B,T-spine,with,,,,,,,,,,,,,,,,,,,,,,,
520A,L-spine,without,,,,,,,,,,,,,,,,,,,,,,,
520B,L-spine,with,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
530A,Medtronic spine,without,,cranial/spine stimulators,PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
600,Vascular,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
600C,CTA head,with and without,head only,without dry head / with CTA head,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
611B,CTA neck /carotid,with only,neck only,,yes,,,,,,,,,,,,,,,,,,,,
611C,CTA neck/carotid,without and with,neck only,(Dr. Maidan special),,,,,,,,,,,,,,,,,,,,,
612C,CTA head and neck,without and with,head/neck,without head / with head and neck,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
620C,CTA chest Aorta,without and with,chest,,,,,,,,,,,,,,,,,,,,,,
621B,CTA PE chest,with only,chest,,,,,,,,,,,,,,,,,,,,,,
622C,CTA chest Stent graft,without and with,chest,,,,,,,,,,,,,,,,,,,,,,
623C,CTA Pulmonary Vein,,Pre ablation,,,,,,,,,,,,,,,,,,,,,,
624C,CTA Chest (unequal BP in arms),without and with,chest,,,,,,,,,,,,,,,,,,,,,,
625C,CTA Chest (Subclavian stenosis),without and with,,,,,,,,,,,,,,,,,,,,,,,
626C,CTA CHEST pacemaker leads replacement,without and with,,,,,,,,,,,,,,,,,,,,,,,
627B,CTA NECK AND CHEST(subclavian steal,without and with,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
630C,CTA chest/abdomen Dissection,without and with,chest + abdomen,,,,,,,,,,,,,,,,,,,,,,
631C,CTA chest/abdomen Stent graft,without and with,chest + abdoment,,,,,,,,,,,,,,,,,,,,,,
632C,CTA C/A/P Dissection,without and with,chest + abdomen + pelvis,,,,,,,,,,,,,,,,,,,,,,
632B,CTA C/A/P Dissection,with,chest + abdomen + pelvis,,,,,,,,,,,,,,,,,,,,,,
634C,CTA C/A/P Stent graft,without and with,chest + abdomen + pelvis,,,,,,,,,,,,,,,,,,,,,,
635B,CTA DA VINCI/MITRAL VALVE REPLACE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
640C,CTA abd/pelvis,without and with,,,,,,,,,,,,,,,,,,,,,,,
641C,CTA abd/pelvis (stent graft),without and with,,,,,,,,,,,,,,,,,,,,,,,
642C,,without and with,,,,,,,,,,,,,,,,,,,,,,,
643B,CTA DIEP FLAP (SAC and FOLSOM),without and with,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
650C,CTA aorta and runoff,without and with,abdomen + pelvis + extremities,?,,,,,,,,,,,,,,,,,,,,,
660C,CTA,without and with,other body region requiring specific protocol by rad,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
670B,CTV abdomen and pelvis,with,,,,,,,,,,,,,,,,,,,,,,,
671B,CTV Pelvis only,with,,,,,,,,,,,,,,,,,,,,,,,
672B,CTV Upper extremity,with,specify,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,CARDIAC/GATED EXAMS,,,,,,,,,,,,,,,,,,,,,,,,
680A,CALCIUM SCORE,WITHOUT,,,,,,,,,,,,,,,,,,,,,,,
681A,GATED CHEST W/O F/U ANEURYSM,WITHOUT,F/U to prior gated CTA,,,,,,,,,,,,,,,,,,,,,,
682B,CORONARY PROSPECTIVE,WITHOUT,FEMALE UNDER 50,MALE UNDER 40,,,,,,,,,,,,,,,,,,,,,
683C,CORONARY RETROSPECTIVE W/ CA++,without and with,,,,,,,,,,,,,,,,,,,,,,,
684B,AORTIC ROOT PROSPECTIVE,WITH,gated root-CTA chest,MALE UNDER 40/FEMALE UNDER 50,,,,,,,,,,,,,,,,,,,,,
685C,AORTIC ROOT RETROSPECTIVE W/PRE,WITHOUT/WITH,gated root-CTA chest,,,,,,,,,,,,,,,,,,,,,,
686B,AORTIC ROOT PROSPECTIVE,WITH,gated root-CTA ch/abd,MALE UNDER 40/FEMALE UNDER 50,,,,,,,,,,,,,,,,,,,,,
686C,AORTIC ROOT RETROSPECTIVE W/PRE,WITHOUT/WITH,gated root-CTA ch/abd,,,,,,,,,,,,,,,,,,,,,,
687B,AORTIC ROOT PROSPECTIVE,WITH,gated root-CTA ch/abd/pel,MALE UNDER 40/FEMALE UNDER 50,,,,,,,,,,,,,,,,,,,,,
687C,AORTIC ROOT RETROSPECTIVE W/PRE,WITHOUT/WITH,gated root-CTA ch/abd/pel,,,,,,,,,,,,,,,,,,,,,,
688B,,WITH,NECK-THIGH,MALE UNDER 40/FEMALE UNDER 50,,,,,,,,,,,,,,,,,,,,,
689B,TAVR RETROSPECTIVE,WITH,NECK-THIGH,,,,,,,,,,,,,,,,,,,,,,
690B,S/P TAVR,WITH,,,,,,,,,,,,,,,,,,,,,,,
691C,PULMONARY VALVE REPLACEMENT,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
700,Combined Exams,,,,,,,,,,,,,,,,,,,,,,,,
700C,Head and maxillofacial,without and with,head,Head without and with. maxillofacial with,,,,,,,,,,,,,,,,,,,,,
701C,Head and neck,without and with,head + neck,Head without and with. neck with,,,,,,,,,,,,,,,,,,,,,
702C,Head + Neck + Chest,without and with,head + neck + chest,Head without and with. neck and chest with,,,,,,,,,,,,,,,,,,,,,
703C,Head + Neck + Chest + Abdomen,without and with,head + neck + chest + abdomen,Head without and with. neck + chest + abdomen with,,,,,,,,,,,,,,,,,,,,,
704C,Head + Neck + Chest + Abdomen,without and with,head + neck + C/A/P,Head without and with. neck + C/A/P with,,,,,,,,,,,,,,,,,,,,,
705B,Head + Chest + Abdomen + Pelvis,with,head + C/A/P,Head without and with. C/A/P with,,,,,,,,,,,,,,,,,,,,,
706C,Head + Abdomen + Pelvis,without and with,head + abdomen + pelvis,Head without and with. A/P with,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
707B,Neck and chest,with,neck + chest,,,,,,,,,,,,,,,,,,,,,,
708B,Neck + Chest + Abdomen,with,neck + chest + abdomen,,,,,,,,,,,,,,,,,,,,,,
709B,Neck + Chest + Abdomen + Pelvis,with,neck + C/A/P,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
710B,Chest and Abdomen,with,chest + abdomen,,,,,,,,,,,,,,,,,,,,,,
711C,Chest and Pancreas,without and with,chest + abdomen,Chest with. abd without and with (pancreas protocol),,,,,,,,,,,,,,,,,,,,,
712C,Chest and Liver,without and with,chest + abdomen,Chest with. abd without and with (liver protocol),,,,,,,,,,,,,,,,,,,,,
713C,Chest and Renal mass,without and with,chest + abdomen,Chest with. abd without and with (renal mass),,,,,,,,,,,,,,,,,,,,,
714C,Chest and Adrenal,without and with,chest + abdomen,Chest with. abd without and with (adrenal protocol),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
715C,C/A/P Pancreas,without and with,C/A/P,Chest and pelvis with. abd without and with (pancreas protocol),,,,,,,,,,,,,,,,,,,,,
716C,C/A/P Liver,without and with,C/A/P,Chest and pelvis with. abd without and with (liver protocol),,,,,,,,,,,,,,,,,,,,,
717C,C/A/P Renal mass,without and with,C/A/P,Chest and pelvis with. abd without and with (renal mass protocol),,,,,,,,,,,,,,,,,,,,,
718C,C/A/P Adrenal,without and with,C/A/P,Chest and pelvis with. abd without and with (adrenal protocol ),,,,,,,,,,,,,,,,,,,,,
719B,C/A/P HIPEC,with ORAL contrast,C/A/P,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
720B,Chest + Abdomen + Pelvis,with,C/A/P,Routine with IV contrast,,,,,,,,,,,,,,,,,,,,,
721A,Chest + Abdomen + Pelvis,without,C/A/P,Rotuine without IV,,,,,,,,,,,,,,,,,,,,,
722C,Chest + Abdomen + Pelvis,without and with,C/A/P,No specific protocol (see above). just without and with routine scan,,,,,,,,,,,,,,,,,,,,,
723C,723B CT CAP W/ THREE CONTRASTS,with,C/A/P,Oral + Rectal + IV contrast,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
